iter	Passed	Remaining
1398	16231	30176
1399	16244	30168
1400	16261	30166
1401	16273	30156
1402	16288	30150
1403	16299	30138
1404	16314	30133
1405	16329	30126
1406	16341	30116
1407	16355	30108
1408	16369	30101
1409	16386	30099
1410	16398	30089
1411	16409	30075
1412	16418	30059
1413	16431	30050
1414	16443	30040
1415	16461	30039
1416	16474	30031
1417	16489	30025
1418	16506	30022
1419	16518	30013
1420	16531	30003
1421	16546	29997
1422	16558	29987
1423	16572	29979
1424	16585	29970
1425	16596	29957
1426	16608	29947
1427	16620	29935
1428	16634	29927
1429	16645	29915
1430	16659	29907
1431	16671	29897
1432	16683	29886
1433	16696	29876
1434	16710	29869
1435	16721	29856
1436	16733	29844
1437	16746	29835
1438	16760	29829
1439	16773	29818
1440	16785	29807
1441	16798	29800
1442	16809	29787
1443	16818	29770
1444	16835	29768
1445	16846	29755
1446	16858	29744
1447	16869	29732
1448	16879	29716
1449	16893	29708
1450	16904	29697
1451	16918	29688
1452	16931	29680
1453	16944	29669
1454	16955	29657
1455	16965	29642
1456	16977	29632
1457	16991	29624
1458	17003	29613
1459	17013	29598
1460	17023	29584
1461	17035	29572
1462	17048	29564
1463	17061	29554
1464	17075	29547
1465	17091	29542
1466	17099	29525
1467	17112	29516
1468	17123	29503
1469	17135	29491
1470	17146	29479
1471	17158	29467
1472	17169	29454
1473	17181	29444
1474	17194	29434
1475	17206	29423
1476	17223	29420
1477	17233	29405
1478	17244	29393
1479	17254	29378
1480	17266	29367
1481	17278	29357
1482	17289	29344
1483	17303	29336
1484	17315	29325
1485	17326	29313
1486	17336	29299
1487	17350	29291
1488	17362	29279
1489	17372	29265
1490	17384	29254
1491	17394	29239
1492	17406	29227
1493	17418	29217
1494	17431	29207
1495	17441	29193
1496	17454	29183
1497	17465	29171
1498	17478	29161
1499	17489	29149
1500	17502	29139
1501	17514	29129
1502	17526	29117
1503	17536	29103
1504	17549	29093
1505	17562	29084
1506	17572	29070
1507	17584	29058
1508	17595	29046
1509	17609	29037
1510	17620	29026
1511	17634	29017
1512	17647	29008
1513	17660	28999
1514	17671	28986
1515	17686	28980
1516	17699	28971
1517	17712	28961
1518	17724	28950
1519	17736	28937
1520	17748	28926
1521	17758	28913
1522	17769	28900
1523	17780	28887
1524	17789	28872
1525	17799	28856
1526	17810	28845
1527	17821	28830
1528	17833	28819
1529	17844	28807
1530	17855	28794
1531	17867	28783
1532	17879	28772
1533	17893	28764
1534	17907	28756
1535	17918	28744
1536	17928	28729
1537	17942	28722
1538	17957	28715
1539	17970	28705
1540	17980	28692
1541	17995	28684
1542	18008	28676
1543	18021	28665
1544	18033	28655
1545	18046	28644
1546	18059	28635
1547	18070	28624
1548	18083	28613
1549	18094	28601
1550	18110	28596
1551	18123	28586
1552	18134	28573
1553	18143	28558
1554	18155	28546
1555	18167	28535
1556	18178	28523
1557	18192	28515
1558	18201	28499
1559	18214	28489
1560	18227	28480
1561	18240	28470
1562	18252	28458
1563	18262	28444
1564	18272	28429
1565	18280	28412
1566	18291	28399
1567	18301	28386
1568	18311	28371
1569	18323	28360
1570	18332	28345
1571	18345	28335
1572	18356	28322
1573	18366	28307
1574	18376	28294
1575	18388	28282
1576	18403	28275
1577	18412	28260
1578	18424	28249
1579	18435	28237
1580	18448	28227
1581	18460	28215
1582	18470	28201
1583	18484	28194
1584	18500	28188
1585	18511	28175
1586	18520	28159
1587	18531	28147
1588	18542	28134
1589	18554	28123
1590	18565	28110
1591	18576	28097
1592	18589	28088
1593	18602	28079
1594	18613	28066
1595	18624	28053
1596	18638	28045
1597	18651	28036
1598	18666	28029
1599	18683	28024
1600	18697	28017
1601	18708	28004
1602	18721	27994
1603	18734	27985
1604	18744	27970
1605	18755	27958
1606	18766	27945
1607	18778	27934
1608	18791	27924
1609	18803	27913
1610	18816	27904
1611	18827	27890
1612	18841	27882
1613	18853	27870
1614	18867	27863
1615	18879	27852
1616	18892	27841
1617	18903	27829
1618	18914	27817
1619	18925	27803
1620	18937	27792
1621	18957	27794
1622	18972	27787
1623	18985	27776
1624	18996	27764
